Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,Micro_SD_Card,3d_MODEL_microSD_HC_Molex_104031-0811,161.4125,-85,90,top
JP1,TERM_ENABLE_GND,PinSocket_1x02_P2.54mm_Vertical,109.95,-84.5,180,top
JP2,TERM_VCC_ENABLE,PinSocket_1x03_P2.54mm_Vertical,113.8,-84.4,180,top
R1,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,87.48,-81.28,180,top
R2,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,87.48,-83.82,180,top
R3,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,87.48,-86.36,180,top
R4,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,87.48,-88.9,180,top
R5,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,87.48,-91.44,180,top
R6,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,87.48,-93.98,180,top
R7,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,87.48,-96.52,180,top
R8,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,87.48,-99.06,180,top
R9,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,87.48,-101.6,180,top
R10,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,87.5,-104.14,180,top
R11,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,87.5,-106.68,180,top
R12,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,87.5,-109.22,180,top
R13,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,87.5,-111.76,180,top
R14,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,87.5,-114.3,180,top
R15,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,87.5,-116.84,180,top
R16,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,87.5,-119.38,180,top
R17,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,87.5,-121.91,180,top
R18,330,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,87.45,-124.46,180,top
R19,220,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,94.5,-81.28,0,top
R20,220,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,94.5,-83.82,0,top
R21,220,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,94.5,-86.36,0,top
R22,220,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,94.5,-88.9,0,top
R23,220,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,94.5,-91.44,0,top
R24,220,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,94.5,-93.98,0,top
R25,220,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,94.5,-96.52,0,top
R26,220,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,94.5,-99.06,0,top
R27,220,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,94.5,-101.6,0,top
R28,220,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,94.5,-124.46,0,top
R29,220,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,94.5,-121.92,0,top
R30,220,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,94.5,-119.38,0,top
R31,220,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,94.5,-116.84,0,top
R32,220,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,94.5,-114.3,0,top
R33,220,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,94.5,-111.76,0,top
R34,220,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,94.5,-109.22,0,top
R35,220,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,94.5,-106.68,0,top
R36,220,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,94.5,-104.14,0,top
U1,YAAJ_BluePill_Part_Like,YAAJ_BluePill_1,102.8,-109.27,90,top
